Site,TreeID,Circumf_2004_cm,Circumf_2009_cm,Circumf_2014_cm,Circumf_2019_cm
northeast,A003,5.2,10.1,19.9,38.9
northeast,A005,4.9,9.6,18.9,37.0
northeast,A007,3.7,7.3,14.3,28.1
northeast,A008,3.8,6.5,10.9,18.5
northeast,A011,3.8,6.4,10.9,18.4
northeast,A012,5.9,10.0,16.8,28.4
northeast,A016,4.4,9.9,22.2,50.0
northeast,A019,5.3,9.0,15.2,25.8
northeast,A022,7.1,12.0,20.2,34.2
northeast,A025,3.8,7.4,14.5,28.4
northeast,A026,5.4,10.5,20.6,40.5
northeast,A030,3.5,6.8,13.3,26.0
northeast,A034,2.4,4.1,7.0,11.8
northeast,A035,5.9,13.3,30.0,67.6
northeast,A040,6.5,11.0,18.6,31.4
northeast,A042,2.9,5.7,11.1,21.8
northeast,A044,5.0,8.5,14.3,24.2
northeast,A045,7.2,16.3,36.7,82.5
northeast,A046,5.0,11.2,25.1,56.5
northeast,A049,6.5,12.8,25.0,49.1
northeast,A051,5.4,12.2,27.5,61.8
northeast,A052,6.6,15.0,33.7,75.7
northeast,A053,4.7,10.6,23.8,53.6
northeast,A054,6.3,10.7,18.0,30.5
northeast,A055,5.1,10.0,19.6,38.4
northeast,A057,4.8,10.8,24.2,54.6
northeast,A059,3.7,8.2,18.5,41.7
northeast,A060,5.1,11.5,25.8,58.0
northeast,A062,5.3,11.8,26.6,59.9
northeast,A063,5.4,12.2,27.4,61.7
northeast,A066,5.8,9.8,16.6,28.0
northeast,A068,4.3,9.7,21.8,49.0
northeast,A070,4.5,10.2,23.0,51.8
northeast,A071,6.2,12.2,23.8,46.7
northeast,A072,5.0,8.4,14.3,24.1
northeast,A076,5.5,10.8,21.2,41.5
northeast,A077,4.8,8.1,13.7,23.1
northeast,A079,3.2,6.3,12.4,24.2
northeast,A082,4.8,9.4,18.4,36.0
northeast,A083,5.7,11.2,22.0,43.2
northeast,A086,4.7,9.2,18.1,35.5
northeast,A087,5.3,8.9,15.1,25.5
northeast,A090,5.5,9.3,15.7,26.5
northeast,A091,5.6,9.5,16.1,27.2
northeast,A092,5.4,10.6,20.8,40.9
northeast,A093,5.7,9.6,16.2,27.4
northeast,A094,5.4,12.1,27.2,61.2
northeast,A098,6.9,15.4,34.8,78.2
northeast,A099,3.9,6.7,11.3,19.0
northeast,A100,5.1,10.0,19.7,38.6
southwest,A001,5.3,13.5,34.6,88.7
southwest,A002,5.2,10.1,19.8,38.8
southwest,A004,6.2,15.9,40.6,103.9
southwest,A006,5.1,11.5,25.9,58.3
southwest,A009,3.6,9.1,23.4,59.8
southwest,A010,6.6,14.9,33.6,75.5
southwest,A013,6.6,16.9,43.2,110.6
southwest,A014,5.1,12.9,33.2,84.9
southwest,A015,4.1,10.6,27.1,69.3
southwest,A017,4.4,8.7,17.0,33.3
southwest,A018,3.9,8.9,19.9,44.8
southwest,A020,5.4,10.6,20.7,40.6
southwest,A021,4.7,12.1,31.0,79.3
southwest,A023,4.2,9.4,21.1,47.6
southwest,A024,3.9,7.6,14.9,29.2
southwest,A027,5.0,12.8,32.9,84.2
southwest,A028,3.9,9.9,25.3,64.9
southwest,A029,6.1,13.7,30.8,69.4
southwest,A031,3.8,7.4,14.5,28.5
southwest,A032,7.3,14.3,28.0,54.9
southwest,A033,5.1,11.4,25.7,57.7
southwest,A036,5.3,12.0,27.0,60.8
southwest,A037,6.4,14.3,32.3,72.6
southwest,A038,2.8,5.5,10.9,21.3
southwest,A039,6.0,15.3,39.3,100.6
southwest,A041,4.1,9.3,20.9,47.0
southwest,A043,6.4,14.5,32.6,73.4
southwest,A047,3.7,8.3,18.6,41.8
southwest,A048,5.5,14.1,36.1,92.4
southwest,A050,4.7,10.6,23.8,53.5
southwest,A056,4.2,8.3,16.2,31.8
southwest,A058,4.7,9.3,18.2,35.7
southwest,A061,5.4,10.6,20.8,40.8
southwest,A064,3.9,10.1,25.9,66.2
southwest,A065,3.3,7.4,16.6,37.4
southwest,A067,6.1,12.0,23.6,46.2
southwest,A069,4.7,11.9,30.5,78.0
southwest,A073,5.0,12.8,32.7,83.8
southwest,A074,6.0,11.8,23.1,45.3
southwest,A075,5.6,14.4,37.0,94.6
southwest,A078,5.7,12.8,28.7,64.6
southwest,A080,6.2,12.2,23.9,46.8
southwest,A081,4.5,8.8,17.2,33.7
southwest,A084,6.4,12.5,24.5,48.0
southwest,A085,6.1,15.6,39.9,102.0
southwest,A088,5.0,9.9,19.4,38.0
southwest,A089,5.0,11.3,25.4,57.2
southwest,A095,7.0,13.7,26.9,52.8
southwest,A096,3.2,7.3,16.4,36.8
southwest,A097,5.4,12.1,27.2,61.3
